Tarih,tuketici_kredisi_faizi,1_aylik_mevduat_faizi,3_aylik_mevduat_faizi,usd_mevduat_faizi,eur_mevduat_faizi,tuketici_fiyat_endeksi,ito_gecinme_endeksi,reel_kesim_guven_endeksi,istihdam_orani,issizlik_orani,konut_fiyat_endeksi,toplam_sifir_konut_satisi,toplam_ikinciel_konut_satisi,resmi_rezerv_varliklari,toplam_binek_otomobil_uretimi,usd_try,eur_try,gbp_try,tuketici_fiyat_endeksi_aylik_degisim,konut_fiyat_endeksi_aylik_degisim,usd_try_aylik_degisim,eur_try_aylik_degisim,gbp_try_aylik_degisim,tuketici_fiyat_endeksi_yillik_degisim,konut_fiyat_endeksi_yillik_degisim,Ekonomi_Küme
2020-01-01,14.606,9.312,10.2,1.368,0.1679999999999999,446.45,22278.1,104.1,43.5,14.1,120.9,36040.0,77575.0,102467.0,75396.0,5.918159090909091,6.5750590909090905,7.72295,,,,,,,,2
2020-02-01,13.835,8.9775,9.8775,1.1675,0.1425,448.02,22530.4,106.9,43.6,13.5,123.7,37303.0,81450.0,107724.0,87589.0,6.04447,6.5939000000000005,7.831265,0.3516631201702314,2.3159636062861866,2.1342939104988856,0.2865511751363625,1.4025081089479974,,,2
2020-03-01,14.04,8.9725,10.085,0.955,0.13,450.58,22604.2,99.7,41.9,13.0,125.4,34089.0,74581.0,92145.0,72093.0,6.314431818181817,6.988740909090908,7.81800909090909,0.571403062363296,1.3742926434923142,4.466261197124277,5.987972354614235,-0.16926906560957855,,,2
2020-04-01,12.065,8.7625,10.0575,1.095,0.1725,454.43,22838.6,66.8,40.3,12.8,127.5,14848.0,27935.0,86343.0,9661.0,6.818952380952381,7.416766666666668,8.449204761904761,0.8544542589551396,1.674641148325362,7.989959782570533,6.1245045873568715,8.073611371591216,,,2
2020-05-01,10.682,7.326,8.306000000000001,0.754,0.182,460.62,23332.7,76.9,41.0,12.6,135.9,16860.0,34076.0,90914.0,43264.0,6.951947058823529,7.559517647058823,8.543576470588235,1.362145985080221,6.58823529411765,1.950368186213569,1.9247063687971133,1.1169300702590368,,,2
2020-06-01,11.3975,6.9975,8.120000000000001,0.7625,0.2175,465.84,23348.3,92.6,43.0,13.0,139.5,58632.0,131380.0,86345.0,74264.0,6.808831818181818,7.662422727272727,8.515795454545454,1.133255177803827,2.6490066225165476,-2.0586353640318134,1.3612651629160588,-0.3251684600520388,,,2
2020-07-01,11.006,6.946000000000001,8.158,0.768,0.2299999999999999,468.56,23450.1,100.7,43.0,14.6,141.4,67937.0,161420.0,90254.0,77706.0,6.851095238095238,7.82097619047619,8.622442857142858,0.5838914648806481,1.3620071684587787,0.6207146988204792,2.0692340901413253,1.2523481002644221,,,2
2020-08-01,14.3925,8.285,10.2825,0.9775,0.3575,472.61,23589.1,106.2,43.8,13.0,144.4,52123.0,118285.0,83750.0,45211.0,7.252190000000001,8.575790000000001,9.499045,0.8643503500085359,2.121640735502117,5.854461921277809,9.651145728367872,10.166517278000441,,,2
2020-09-01,17.2725,9.5525,11.78,1.2375,0.4549999999999999,477.21,23934.8,105.3,44.0,12.4,146.7,41376.0,95368.0,79680.0,90447.0,7.507781818181818,8.86075,9.738486363636364,0.9733183809060186,1.5927977839335083,3.5243397950387,3.322842560277217,2.5206888022571095,,,2
2020-10-01,18.454,10.42,12.288,1.332,0.548,487.38,24521.4,108.1,43.6,12.8,149.9,36976.0,82598.0,84526.0,95915.0,7.873880952380952,9.273704761904762,10.198980952380952,2.131137235179481,2.1813224267212217,4.8762622977740255,4.660494449169228,4.728605365861371,,,2
2020-11-01,19.865,12.64,14.0125,1.47,0.65,498.58,24997.1,103.9,42.4,12.9,152.2,36658.0,75825.0,82694.0,91067.0,8.00332380952381,9.4572,10.532980952380951,2.298001559358198,1.534356237491652,1.6439524286142149,1.9786616331481044,3.2748369818459855,,,2
2020-12-01,21.915,14.64,16.052500000000002,1.4925,0.7375,504.81,25337.7,106.8,41.7,13.0,154.9,36898.0,69083.0,93589.0,92300.0,7.721065217391304,9.38417391304348,10.346430434782608,1.2495487183601384,1.7739816031537625,-3.5267671138911383,-0.7721745015070058,-1.771108468169913,,,2
2021-01-01,22.116,15.664,17.526,1.486,0.704,513.3,25632.0,107.0,42.9,13.4,157.7,22268.0,48319.0,95675.0,68777.0,7.393975,9.00809,10.066385,1.6818208831045345,1.8076178179470492,-4.236335378369171,-4.007640060045614,-2.7066864900686105,14.973681263299365,30.438378825475574,2
